"","survey","eventId","numClicks","numClicks_d1","numClicks_d2","numClicks_d3","numClicks_d4","numClicks_d5","click_medPeakFreq_kHz","click_p25PeakFreq_kHz","click_p75PeakFreq_kHz","numWhistles","whistle_medBeginFreq_Hz","whistle_percBeginFreq4to8kHz","click_lmPeakFreqSlope_Hz","click_lmPeakFreqIntercept_Hz","click_lmPeakFreqRsqd","keep"
"3","MACS_1803","1803003",5843,4735,675,8,0,0,11.1821086261981,7.58785942492013,13.5782747603834,1,5639.6484375,1,NA,NA,NA,TRUE
"4","MACS_1803","1803005",83,74,3,1,0,2,9.98402555910543,7.78753993610224,12.5798722044728,NA,NA,NA,NA,NA,NA,TRUE
"8","MACS_1803","1803010",35,25,2,3,0,1,7.18849840255591,5.59105431309904,18.5702875399361,NA,NA,NA,NA,NA,NA,TRUE
"17","MACS_1803","1803022",69,42,5,6,1,6,9.185303514377,6.78913738019169,25.1597444089457,NA,NA,NA,NA,NA,NA,TRUE
"19","MACS_1803","1803024",48,27,5,8,0,5,12.5798722044728,7.38817891373802,39.5367412140575,NA,NA,NA,NA,NA,NA,TRUE
"34","MACS_1803","1803042",29,22,3,0,0,2,9.185303514377,7.98722044728435,13.1789137380192,NA,NA,NA,NA,NA,NA,TRUE
"36","MACS_1803","1803044",1,1,0,0,0,0,11.9808306709265,11.9808306709265,11.9808306709265,14,4504.39453125,0.928571428571429,NA,NA,NA,TRUE
"39","MACS_1803","1803053",1942,118,1370,83,0,8,20.3674121405751,17.9712460063898,23.5623003194888,41,4687.5,0.951219512195122,NA,NA,NA,TRUE
"40","MACS_1803","1803054",91,56,4,22,0,0,10.7827476038339,7.58785942492013,32.1485623003195,NA,NA,NA,NA,NA,NA,TRUE
"43","MACS_1803","1803058",200,71,41,41,0,9,21.7651757188498,11.1821086261981,36.841054313099,NA,NA,NA,NA,NA,NA,TRUE
"46","MACS_1803","1803061",287,190,19,45,16,3,9.98402555910543,7.58785942492013,20.3674121405751,NA,NA,NA,NA,NA,NA,TRUE
"47","MACS_1803","1803062",80,45,25,1,0,0,13.3785942492013,7.98722044728435,17.3722044728435,NA,NA,NA,NA,NA,NA,TRUE
"55","MACS_1803","1803071",135,5,126,0,0,0,20.7667731629393,19.9680511182109,22.3642172523962,NA,NA,NA,NA,NA,NA,TRUE
