"","survey","eventId","numClicks","numClicks_d1","numClicks_d2","numClicks_d3","numClicks_d4","numClicks_d5","click_medPeakFreq_kHz","click_p25PeakFreq_kHz","click_p75PeakFreq_kHz","numWhistles","whistle_medBeginFreq_Hz","whistle_percBeginFreq4to8kHz","click_lmPeakFreqSlope_Hz","click_lmPeakFreqIntercept_Hz","click_lmPeakFreqRsqd","keep"
"3","WHICEAS_2001","2001007",120,97,17,0,0,0,9.58466453674122,7.58785942492013,13.6781150159744,NA,NA,NA,NA,NA,NA,TRUE
"28","WHICEAS_2001","2001058",NA,NA,NA,NA,NA,NA,NA,NA,NA,27,4394.53125,0.592592592592593,NA,NA,NA,TRUE
"34","WHICEAS_2001","2001071",2415,2151,198,1,0,1,9.98402555910543,6.38977635782748,12.779552715655,NA,NA,NA,NA,NA,NA,TRUE
"38","WHICEAS_2001","2001077",14,13,0,0,0,0,7.38817891373802,5.29153354632588,11.4816293929712,NA,NA,NA,NA,NA,NA,TRUE
"39","WHICEAS_2001","2001078",10476,8926,937,1,0,5,9.58466453674122,6.38977635782748,13.1789137380192,NA,NA,NA,NA,NA,NA,TRUE
"42","WHICEAS_2001","2001082",24,14,4,1,0,3,8.98562300319489,6.28993610223642,17.2723642172524,NA,NA,NA,NA,NA,NA,TRUE
"46","WHICEAS_2001","2001088",243,232,2,1,0,3,8.38658146964856,6.78913738019169,9.58466453674122,NA,NA,NA,NA,NA,NA,TRUE
"51","WHICEAS_2001","2001094",1255,804,238,42,0,15,13.1789137380192,10.7827476038339,16.3738019169329,247,6738.28125,0.785425101214575,NA,NA,NA,TRUE
"52","WHICEAS_2001","2001095",3424,1974,838,204,0,13,13.1789137380192,10.7827476038339,17.5718849840256,919,6665.0390625,0.732317736670294,NA,NA,NA,TRUE
"54","WHICEAS_2001","2001097",54,44,2,3,0,3,6.78913738019169,5.59105431309904,8.28674121405751,NA,NA,NA,NA,NA,NA,TRUE
"55","WHICEAS_2001","2001100",33760,28644,2851,7,0,17,10.3833865814696,6.78913738019169,13.1789137380192,NA,NA,NA,NA,NA,NA,TRUE
"59","WHICEAS_2001","2001107",NA,NA,NA,NA,NA,NA,NA,NA,NA,13,4028.3203125,0.538461538461538,NA,NA,NA,TRUE
"62","WHICEAS_2001","2001111",50,46,1,1,0,2,9.185303514377,8.48642172523962,11.082268370607,NA,NA,NA,NA,NA,NA,TRUE
"66","WHICEAS_2001","2001115",17,14,0,1,0,2,7.98722044728435,7.18849840255591,10.7827476038339,NA,NA,NA,NA,NA,NA,TRUE
"71","WHICEAS_2001","2001121",4225,3623,404,25,0,25,10.3833865814696,7.18849840255591,12.779552715655,NA,NA,NA,NA,NA,NA,TRUE
"73","WHICEAS_2001","2001123",137,1,121,6,0,0,20.3674121405751,17.9712460063898,23.1629392971246,NA,NA,NA,NA,NA,NA,TRUE
"80","WHICEAS_2001","2001130",124,12,96,7,0,0,19.9680511182109,18.370607028754,21.5654952076677,NA,NA,NA,NA,NA,NA,TRUE
"94","WHICEAS_2001","2001144",40,38,0,2,0,0,6.38977635782748,5.99041533546326,7.28833865814697,NA,NA,NA,NA,NA,NA,TRUE
"95","WHICEAS_2001","2001145",19,19,0,0,0,0,5.59105431309904,5.39137380191693,6.19009584664537,NA,NA,NA,NA,NA,NA,TRUE
"96","WHICEAS_2001","2001146",282,263,5,0,0,0,9.185303514377,7.98722044728435,11.082268370607,NA,NA,NA,NA,NA,NA,TRUE
"98","WHICEAS_2001","2001148",370,362,2,0,0,0,7.18849840255591,5.99041533546326,8.78594249201278,NA,NA,NA,NA,NA,NA,TRUE
"102","WHICEAS_2001","2001154",38,23,2,1,0,11,12.3801916932907,7.18849840255591,66.4936102236422,NA,NA,NA,NA,NA,NA,TRUE
"113","WHICEAS_2001","2001171",NA,NA,NA,NA,NA,NA,NA,NA,NA,14,3552.24609375,0.5,NA,NA,NA,TRUE
