"event.id","NClicks","NWhistle","NCep","TS"
"2102253",1474,197,9,1680
"2102247",10995,0,16,11011
"2102246",48,1,1,50
"2102244",1130,4,2,1136
"2102230",0,0,0,0
"2102229",0,0,1,1
"2102228",1,0,1,2
"2102213",4,0,2,6
"2102212",5,0,0,5
"2102207",8704,0,65,8769
"2102200",14,0,6,20
"2102199",8,0,3,11
"2102198",2,0,0,2
"2102197",13,0,9,22
"2102194",0,0,0,0
"2102193",2945,286,12,3243
"2102191",603,0,1,604
"2102188",166,0,1,167
"2102187",398,0,4,402
"2102185",14,0,0,14
"2102183",1,0,1,2
"2102182",15,0,7,22
"2102178",1,0,1,2
"2102177",2,0,4,6
"2102176",1,0,0,1
"2102174",390,65,9,464
"2102172",1,0,4,5
"2102170",1,0,2,3
"2102166",84,7,5,96
"2102164",0,0,4,4
"2102159",306,0,13,319
"2102156",1,0,0,1
"2102147",15341,2432,476,18249
"2102146",140,0,1,141
"2102143",101,196,2,299
"2102141",1,0,3,4
"2102138",3,0,4,7
"2102136",0,0,0,0
"2102135",546,14,5,565
"2102134",0,0,1,1
"2102133",167,0,2,169
"2102132",808,0,5,813
"2102130",630,7,6,643
"2102127",13,0,2,15
"2102126",619,0,6,625
"2102125",10122,69,14,10205
"2102118",33,0,0,33
"2102108",31,12,2,45
"2102107",1,0,2,3
"2102106",48,0,9,57
"2102105",23,0,5,28
"2102104",5,0,4,9
"2102103",2476,122,13,2611
"2102099",368,10,3,381
"2102094",700,207,2,909
"2102093",17,0,4,21
"2102091",17,0,2,19
"2102089",5,0,0,5
"2102088",0,0,0,0
"2102087",3,0,2,5
"2102085",1993,194,12,2199
"2102080",3355,985,301,4641
"2102079",831,0,8,839
"2102078",3481,20,21,3522
"2102072",6109,0,16,6125
"2102070",6115,0,19,6134
"2102069",187,0,2,189
"2102064",3,0,5,8
"2102062",3,0,1,4
"2102060",12265,0,17,12282
"2102057",18310,0,40,18350
"2102056",6,0,0,6
"2102055",1,0,2,3
"2102054",6,0,2,8
"2102053",8,0,2,10
"2102051",1,0,0,1
"2102050",1,9,0,10
"2102048",9,0,2,11
"2102043",135,74,6,215
"2102036",1,0,2,3
"2102033",205,0,3,208
"2102031",1,0,5,6
"2102027",175,0,3,178
"2102026",16,0,1,17
"2102024",44,0,7,51
"2102021",28,0,1,29
"2102018",6,0,1,7
"2102017",5,0,3,8
"2102014",8107,1,13,8121
"2102012",1032,28,4,1064
"2102011",1484,0,13,1497
"2102010",4,0,1,5
"2102009",23,0,4,27
"2102004",0,0,0,0
"2001300",122,0,0,122
"2001296",2152,81,85,2318
"2001295",2131,38,85,2254
"2001294",7,2,2,11
"2001289",8447,21,69,8537
"2001288",9,17,6,32
"2001287",218,17,6,241
"2001286",38,7,0,45
"2001284",3,2,2,7
"2001280",19,0,3,22
"2001279",9,2,3,14
"2001275",4,0,4,8
"2001272",21,0,6,27
"2001270",4586,77,29,4692
"2001269",6,0,1,7
"2001268",76,0,8,84
"2001267",2,0,1,3
"2001266",4,0,0,4
"2001263",28810,2567,1083,32460
"2001262",10,2,5,17
"2001258",4,0,2,6
"2001257",2859,634,15,3508
"2001252",6,0,0,6
"2001250",108,87,9,204
"2001249",4,0,0,4
"2001248",12,0,1,13
"2001246",4,0,0,4
"2001243",29434,1551,595,31580
"2001241",7471,306,8,7785
"2001237",39,6,1,46
"2001229",1486,3,28,1517
"2001227",797,4,1,802
"2001226",421,468,5,894
"2001225",3753,18,19,3790
"2001223",2347,915,9,3271
"2001214",0,0,0,0
"2001212",2302,636,41,2979
"2001209",331,1,0,332
"2001206",54,3,1,58
"2001204",2959,103,35,3097
"2001202",44457,0,34,44491
"2001200",4,0,1,5
"2001199",129,0,11,140
"2001198",0,0,0,0
"2001196",6,0,5,11
"2001195",0,0,0,0
"2001194",933,0,4,937
"2001193",11,0,13,24
"2001191",32,0,1,33
"2001190",1,0,0,1
"2001187",10243,286,380,10909
"2001185",4,0,1,5
"2001180",2314,4,35,2353
"2001178",1,1,1,3
"2001177",2582,6,2,2590
"2001176",15104,2061,297,17462
"2001175",0,3,0,3
"2001174",26,0,1,27
"2001173",28,13,5,46
"2001167",0,0,0,0
"2001165",0,0,1,1
"2001164",0,0,0,0
"2001163",4,0,4,8
"2001161",21,0,6,27
"2001160",0,0,1,1
"2001158",0,0,1,1
"2001156",0,0,2,2
"2001155",9,0,6,15
