event.id,predicted,X33,X577,original,correct,year,NClicks,NWhistle,NCep,TS,sp_id,is_unid,has_clicks,has_whistles,has_cepstrum,sig_combo
1706298,X33,0.9301,0.0699,X33,TRUE,2017,0,2151,10,2161,33,FALSE,FALSE,TRUE,TRUE,Whistles & Burst Pulses
1706081,X33,0.9045,0.0955,X33,TRUE,2017,28045,6670,532,35247,33,FALSE,TRUE,TRUE,TRUE,All Signal Types
1706091,X33,0.8715,0.1285,X33,TRUE,2017,305,1391,4,1700,33,FALSE,TRUE,TRUE,TRUE,All Signal Types
1706007,X33,0.8711,0.1289,X33,TRUE,2017,10960,1954,111,13025,33,FALSE,TRUE,TRUE,TRUE,All Signal Types
1706101,X33,0.8338,0.1662,X33,TRUE,2017,7986,1670,334,9990,33,FALSE,TRUE,TRUE,TRUE,All Signal Types
1706281,X33,0.8304,0.1696,X33,TRUE,2017,0,2249,49,2298,33,FALSE,FALSE,TRUE,TRUE,Whistles & Burst Pulses
1706295,X33,0.8256,0.1744,X33,TRUE,2017,0,1153,18,1171,33,FALSE,FALSE,TRUE,TRUE,Whistles & Burst Pulses
1706256,X33,0.8091,0.1909,X33,TRUE,2017,0,485,12,497,33,FALSE,FALSE,TRUE,TRUE,Whistles & Burst Pulses
1706338,X33,0.7947,0.2053,X33,TRUE,2017,1393,195,15,1603,33,FALSE,TRUE,TRUE,TRUE,All Signal Types
1706258,X33,0.7911,0.2089,X33,TRUE,2017,0,7966,970,8936,33,FALSE,FALSE,TRUE,TRUE,Whistles & Burst Pulses
1706257,X33,0.6755,0.3245,X33,TRUE,2017,0,5730,403,6133,33,FALSE,FALSE,TRUE,TRUE,Whistles & Burst Pulses
1705416,X33,0.9954,0.0046,X33,TRUE,2017,1651,562,5,2218,33,FALSE,TRUE,TRUE,TRUE,All Signal Types
1705109,X33,0.9857,0.0143,X33,TRUE,2017,3452,2136,17,5605,33,FALSE,TRUE,TRUE,TRUE,All Signal Types
1705308,X33,0.904,0.096,X33,TRUE,2017,15743,4911,136,20790,33,FALSE,TRUE,TRUE,TRUE,All Signal Types
1705108,X33,0.8837,0.1163,X33,TRUE,2017,191776,237,131,192144,33,FALSE,TRUE,TRUE,TRUE,All Signal Types
1705280,X33,0.8693,0.1307,X33,TRUE,2017,12431,3556,29,16016,33,FALSE,TRUE,TRUE,TRUE,All Signal Types
1705276,X33,0.8639,0.1361,X33,TRUE,2017,14800,2963,212,17975,33,FALSE,TRUE,TRUE,TRUE,All Signal Types
1705279,X33,0.8606,0.1394,X33,TRUE,2017,25931,9266,105,35302,33,FALSE,TRUE,TRUE,TRUE,All Signal Types
1705016,X33,0.8536,0.1464,X33,TRUE,2017,14756,2274,115,17145,33,FALSE,TRUE,TRUE,TRUE,All Signal Types
1705067,X33,0.8512,0.1488,X33,TRUE,2017,8901,2618,52,11571,33,FALSE,TRUE,TRUE,TRUE,All Signal Types
1705214,X33,0.7564,0.2436,X33,TRUE,2017,12233,840,146,13219,33,FALSE,TRUE,TRUE,TRUE,All Signal Types
2303309,X33,0.9367,0.0633,X33,TRUE,2023,722,168,11,901,33,FALSE,TRUE,TRUE,TRUE,All Signal Types
2303155,X33,0.912,0.088,X33,TRUE,2023,1861,198,38,2097,33,FALSE,TRUE,TRUE,TRUE,All Signal Types
2303178,X33,0.7983,0.2017,X33,TRUE,2023,8012,242,57,8311,33,FALSE,TRUE,TRUE,TRUE,All Signal Types
2303130,X33,0.7368,0.2632,X33,TRUE,2023,18790,865,210,19865,33,FALSE,TRUE,TRUE,TRUE,All Signal Types
2303337,X33,0.7114,0.2886,X33,TRUE,2023,1484,24,15,1523,33,FALSE,TRUE,TRUE,TRUE,All Signal Types
2404021,X33,0.9455,0.0545,X33,TRUE,2024,2781,342,36,3159,33,FALSE,TRUE,TRUE,TRUE,All Signal Types
2404091,X33,0.9194,0.0806,X33,TRUE,2024,11247,1061,68,12376,33,FALSE,TRUE,TRUE,TRUE,All Signal Types
2404128,X33,0.9064,0.0936,X33,TRUE,2024,19671,3218,1306,24195,33,FALSE,TRUE,TRUE,TRUE,All Signal Types
2404126,X33,0.8657,0.1343,X33,TRUE,2024,14614,3253,349,18216,33,FALSE,TRUE,TRUE,TRUE,All Signal Types
